season,team,ws,vorp,x3p_ar,ts_percent,ast_percent,drb_percent,age
1981,UTA,26.4,4.5,0.022222222222222223,0.5254444444444445,15.47777777777778,13.522222222222222,26.11111111111111
1981,WSB,35.9,10.399999999999999,0.030714285714285715,0.5325714285714286,15.814285714285713,13.528571428571428,28.428571428571427
1982,2TM,42.4,6.1,0.02230769230769231,0.5261538461538462,11.26923076923077,13.607692307692307,25.923076923076923
1982,3TM,3.9,0.3,0.002,0.561,5.4,18.6,24.0
1982,ATL,38.9,10.299999999999999,0.012333333333333333,0.5364444444444445,12.166666666666666,15.166666666666666,27.0
1982,BOS,54.699999999999996,17.1,0.030000000000000002,0.5391111111111111,14.133333333333333,12.777777777777779,28.0
1982,CHI,34.4,7.7,0.025625000000000002,0.558875,15.0625,13.6625,26.5
1982,CLE,15.6,2.8,0.01942857142857143,0.5152857142857143,15.899999999999997,11.914285714285715,27.142857142857142
1982,DAL,30.4,6.3,0.026999999999999996,0.5123,15.02,13.440000000000001,24.5
1982,DEN,41.6,10.200000000000001,0.016666666666666666,0.5675555555555555,13.966666666666667,12.866666666666667,26.77777777777778
1982,DET,31.0,8.8,0.047125,0.5295000000000001,15.787500000000001,12.025,24.75
1982,GSW,40.8,10.2,0.014,0.5427777777777778,12.244444444444445,14.566666666666666,24.77777777777778
1982,HOU,39.1,10.4,0.036625,0.515625,16.5125,11.1125,28.25
1982,IND,35.3,9.0,0.044000000000000004,0.5119,13.39,13.63,27.3
1982,KCK,28.9,6.3,0.0172,0.5271,14.5,13.190000000000001,23.7
1982,LAL,46.9,14.8,0.010714285714285714,0.5442857142857143,14.157142857142857,14.62857142857143,26.285714285714285
1982,MIL,51.8,15.8,0.0178,0.5474,15.27,14.669999999999998,27.2
1982,NJN,39.9,10.4,0.01888888888888889,0.5257777777777778,15.344444444444443,12.922222222222222,25.0
1982,NYK,32.4,8.5,0.026250000000000002,0.543,14.3,13.25,28.5
